Experiment,spite_sigma,comp_sigma,diff_sigma,cost,average_n_individuals,average_mean_spite,average_max_spite,average_sd_spite,average_mean_density,final_spite_10_quantile,final_spite_25_quantile,final_spite_50_quantile,final_spite_75_quantile,final_spite_90_quantile
d8_c32_s4_cost0.005,4.0,32.0,8.0,0.005,12967.570166666666,-1.3967448,-0.22446807,0.54275596,7.366928e-05,-2.599998712539673,-1.8499994277954102,-1.2000000476837158,-1.000000238418579,-0.40000009536743164
d8_c32_s8_cost0.005,8.0,32.0,8.0,0.005,12965.742793333333,-0.7195832,0.21264206,0.45889297,0.0002935199,-0.7000000476837158,-0.550000011920929,-0.3999999761581421,-0.1499999612569809,3.6507845635469494e-08
d8_c4_s16_cost0.005,16.0,4.0,8.0,0.005,14924.284226666667,-0.77783924,0.24256067,0.40313953,0.0011828952,-1.4999996423721313,-1.3499997854232788,-1.100000023841858,-0.8500000834465027,-0.7000000476837158
d8_c4_s2_cost0.005,2.0,4.0,8.0,0.005,13744.91114,0.5124346,1.8424107,0.60662305,0.030496614,0.09999996423721313,0.34999996423721313,0.5,0.7500000596046448,1.0000001192092896
d8_c4_s32_cost0.005,32.0,4.0,8.0,0.005,14925.060513333334,-0.49846834,0.4401423,0.39445055,0.0011396982,-1.2999998331069946,-1.0500000715255737,-0.7500000596046448,-0.30000001192092896,-0.15000000596046448
d8_c4_s4_cost0.005,4.0,4.0,8.0,0.005,13621.02254,0.6549385,1.7560753,0.42968956,0.033852622,0.1499999612569809,0.2999999523162842,0.550000011920929,0.7000000476837158,1.0500000715255737
d8_c4_s8_cost0.005,8.0,4.0,8.0,0.005,13943.271433333333,0.35634005,1.3732681,0.51096857,0.024957256,-0.1000000387430191,0.09999996423721313,0.2999999523162842,0.550000011920929,0.9000000953674316
d8_c8_s16_cost0.005,16.0,8.0,8.0,0.005,13274.930506666667,-0.48399165,0.68063885,0.4395124,0.003089358,-1.7499994039535522,-1.4999996423721313,-1.1999999284744263,-0.6000000834465027,-0.20000000298023224
d8_c8_s2_cost0.005,2.0,8.0,8.0,0.005,12956.37804,0.4406848,1.3924804,0.37473622,0.02253059,0.049999963492155075,0.24999995529651642,0.44999998807907104,0.7000000476837158,1.0000001192092896
d8_c8_s32_cost0.005,32.0,8.0,8.0,0.005,13297.114233333334,-0.5514782,0.51480806,0.596255,0.0017528725,-1.0500000715255737,-0.8500001430511475,-0.4500000476837158,-0.25,-0.10000000894069672
d8_c8_s4_cost0.005,4.0,8.0,8.0,0.005,12877.454813333334,0.41629654,1.6330011,0.61196184,0.027012406,0.20000000298023224,0.40000003576278687,0.7000001072883606,0.8500001430511475,1.0000001192092896
d8_c8_s8_cost0.005,8.0,8.0,8.0,0.005,12884.683506666666,0.37962255,2.0132,0.75034815,0.026214141,0.24999995529651642,0.5,0.6000000238418579,0.7500000596046448,0.8500000834465027
di_c16_s16_cost0.005,16.0,16.0,i,0.005,12978.746426666667,-0.578684,0.36153272,0.39348534,0.00056191516,-1.3499997854232788,-0.9500001072883606,-0.7000000476837158,-0.550000011920929,-0.44999998807907104
di_c16_s2_cost0.005,2.0,16.0,i,0.005,12982.341173333334,-1.3435222,-0.26736373,0.48352423,0.00020183911,-2.399998903274536,-2.1999990940093994,-1.7499995231628418,-1.549999713897705,-1.4499998092651367
di_c16_s32_cost0.005,32.0,16.0,i,0.005,12979.18354,-0.4222684,0.32006806,0.31528017,0.0005214422,-0.7500000596046448,-0.550000011920929,-0.34999996423721313,-0.09999996423721313,-0.049999963492155075
di_c16_s4_cost0.005,4.0,16.0,i,0.005,12978.282786666667,-0.5897077,0.19961709,0.30905366,0.00060495525,-1.100000023841858,-0.9000000953674316,-0.7500000596046448,-0.550000011920929,-0.44999998807907104
di_c16_s8_cost0.005,8.0,16.0,i,0.005,12981.91428,-1.1216831,-0.2977553,0.37000123,0.00025079146,-1.7499994039535522,-0.8500000834465027,-0.19999995827674866,0.050000037997961044,0.2500000298023224
di_c2_s16_cost0.005,16.0,2.0,i,0.005,21004.588426666665,-0.865535,0.13074835,0.41360494,0.00016349569,-1.5499995946884155,-1.399999737739563,-1.149999976158142,-0.8500000834465027,-0.6500000357627869
di_c2_s2_cost0.005,2.0,2.0,i,0.005,20896.082446666667,-0.65852946,0.39063138,0.44146183,0.0010823462,-1.7499994039535522,-1.6499994993209839,-1.2499998807907104,-0.9500001072883606,-0.25
di_c2_s32_cost0.005,32.0,2.0,i,0.005,20889.02374,-0.72274745,0.44387636,0.45455527,0.0011427338,-2.349998950958252,-2.049999237060547,-1.7499994039535522,-1.4499998092651367,-1.149999976158142
di_c2_s4_cost0.005,4.0,2.0,i,0.005,20938.34996666667,-0.575111,0.27960303,0.35375917,0.0007289039,-1.4999996423721313,-1.2999998331069946,-1.0500000715255737,-0.7000000476837158,-0.19999995827674866
di_c2_s8_cost0.005,8.0,2.0,i,0.005,21009.382206666665,-1.5523309,-0.3520073,0.4496022,0.000109843815,-2.1499991416931152,-1.9499993324279785,-1.699999451637268,-1.3499997854232788,-1.1999999284744263
di_c32_s16_cost0.005,16.0,32.0,i,0.005,12941.72564,-0.8088104,0.34834233,0.5484997,0.0006417489,-1.5999995470046997,-1.4999996423721313,-1.0000001192092896,-0.6000000238418579,-0.25
di_c32_s2_cost0.005,2.0,32.0,i,0.005,12939.566146666666,-0.47233906,0.316388,0.35977596,0.0009201786,-1.149999976158142,-1.0000001192092896,-0.8500000834465027,-0.6500000953674316,-0.5000000596046448
di_c32_s32_cost0.005,32.0,32.0,i,0.005,12943.791813333333,-0.9214475,0.119105354,0.43982843,0.00038173902,-1.8499994277954102,-1.7499994039535522,-1.3499997854232788,-1.0000001192092896,0.050000037997961044
di_c32_s4_cost0.005,4.0,32.0,i,0.005,12946.816166666667,-2.9248252,-1.636132,0.54222685,8.356957e-06,-3.499997854232788,-3.3499979972839355,-2.9999983310699463,-2.8499984741210938,-2.699998617172241
di_c32_s8_cost0.005,8.0,32.0,i,0.005,12945.021,-1.259342,0.054783028,0.63422376,0.00018458585,-2.8499984741210938,-2.649998664855957,-2.1999990940093994,-0.6000000238418579,-0.34999996423721313
di_c4_s16_cost0.005,16.0,4.0,i,0.005,15041.62828,-1.3589966,-0.368414,0.4220809,3.7053564e-07,-1.699999451637268,-1.5499995946884155,-1.399999737739563,-1.0500000715255737,-0.6500000357627869
di_c4_s2_cost0.005,2.0,4.0,i,0.005,14985.078026666666,-0.43136063,0.4258777,0.37114072,0.0011050465,-0.8000001311302185,-0.7000001072883606,-0.5500000715255737,-0.2999999523162842,-0.10000000894069672
di_c4_s32_cost0.005,32.0,4.0,i,0.005,15040.531333333332,-1.3756319,-0.20524064,0.5473478,1.3794385e-05,-2.4999988079071045,-1.699999451637268,-1.3499999046325684,-1.149999976158142,-1.0000001192092896
di_c4_s4_cost0.005,4.0,4.0,i,0.005,15017.011726666668,-0.6687193,0.3214207,0.46282938,0.00046371375,-2.1999990940093994,-0.9500001072883606,-0.550000011920929,-0.24999995529651642,3.6507845635469494e-08
di_c4_s8_cost0.005,8.0,4.0,i,0.005,15037.03036,-1.819328,-0.5463713,0.5756735,8.617048e-05,-3.499997854232788,-3.249998092651367,-2.9999983310699463,-2.649998664855957,-1.8499994277954102
di_c8_s16_cost0.005,16.0,8.0,i,0.005,13348.38686,-0.788296,0.33799866,0.52874404,0.00074265455,-1.4499996900558472,-1.149999976158142,-0.25,-8.195638834251895e-09,0.2499999850988388
di_c8_s2_cost0.005,2.0,8.0,i,0.005,13358.19836,-1.1894859,0.086944684,0.57959425,0.00031371298,-1.7499994039535522,-1.5999995470046997,-1.3999998569488525,-1.1500000953674316,-1.0500000715255737
di_c8_s32_cost0.005,32.0,8.0,i,0.005,13338.8621,-0.41404188,0.41203195,0.3521148,0.0011676167,-0.9000001549720764,-0.6500000953674316,-0.20000000298023224,-0.05000000819563866,0.04999999329447746
di_c8_s4_cost0.005,4.0,8.0,i,0.005,13356.21152,-0.7147792,0.20413701,0.37658912,0.00040921365,-1.8999992609024048,-1.6499994993209839,-1.3499997854232788,-1.1999999284744263,-0.9500001072883606
di_c8_s8_cost0.005,8.0,8.0,i,0.005,13350.704346666667,-0.46995714,0.35078502,0.33297923,0.00064395106,-1.0000001192092896,-0.8500000834465027,-0.6000000238418579,-0.2999999523162842,-0.049999963492155075
