Experiment,spite_sigma,comp_sigma,diff_sigma,cost,kd,initial_spite_frequency,spite_expression_prob,average_mean_spite,average_mean_density,average_spite_freq,average_n_individuals
l_d16_c32_s4_cost0.01_kd0.001_init0.25_eprob0.01_resTrue_kc0.05,4.0,32.0,16.0,0.01,0.001,0.25,0.01,0.06911292,4.021822e-05,0.13822584,12942.67
l_d16_c32_s4_cost0.01_kd0.001_init0.25_eprob0.05_resTrue_kc0.05,4.0,32.0,16.0,0.01,0.001,0.25,0.05,0.011268187,3.373964e-05,0.022536375,12956.82
l_d16_c32_s4_cost0.01_kd0.001_init0.25_eprob0.2_resTrue_kc0.05,4.0,32.0,16.0,0.01,0.001,0.25,0.2,0.00268517,3.0594107e-05,0.00537034,12949.32
l_d16_c32_s4_cost0.1_kd0.001_init0.02_eprob0.001_resTrue_kc0.05,4.0,32.0,16.0,0.1,0.001,0.02,0.001,0.07457052,4.3400246e-06,0.14914104,12953.58
l_d16_c32_s4_cost0.1_kd0.001_init0.02_eprob0.01_resTrue_kc0.05,4.0,32.0,16.0,0.1,0.001,0.02,0.01,0.03712451,2.2702674e-05,0.07424902,12944.18
l_d16_c32_s4_cost0.1_kd0.001_init0.02_eprob0.05_resTrue_kc0.05,4.0,32.0,16.0,0.1,0.001,0.02,0.05,0.009994746,2.9076125e-05,0.019989492,12947.81
l_d16_c32_s4_cost0.1_kd0.001_init0.02_eprob0.2_resTrue_kc0.05,4.0,32.0,16.0,0.1,0.001,0.02,0.2,0.0026167352,3.0326673e-05,0.0052334704,12950.66
l_d16_c32_s4_cost0.1_kd0.001_init0.25_eprob0.001_resTrue_kc0.05,4.0,32.0,16.0,0.1,0.001,0.25,0.001,0.07910511,4.889044e-06,0.15821022,12946.1
l_d16_c32_s4_cost0.1_kd0.001_init0.25_eprob0.01_resTrue_kc0.05,4.0,32.0,16.0,0.1,0.001,0.25,0.01,0.034452226,1.9637688e-05,0.06890445,12948.06
l_d16_c32_s4_cost0.1_kd0.001_init0.25_eprob0.05_resTrue_kc0.05,4.0,32.0,16.0,0.1,0.001,0.25,0.05,0.008439679,2.5902185e-05,0.016879357,12947.27
l_d16_c32_s4_cost0.1_kd0.001_init0.25_eprob0.2_resTrue_kc0.05,4.0,32.0,16.0,0.1,0.001,0.25,0.2,0.0025231037,2.9838277e-05,0.0050462075,12943.93
l_d16_c32_s64_cost0.01_kd0.001_init0.02_eprob0.001_resTrue_kc0.05,64.0,32.0,16.0,0.01,0.001,0.02,0.001,0.21249723,1.0207791e-05,0.42499447,12954.57
l_d16_c32_s64_cost0.01_kd0.001_init0.02_eprob0.01_resTrue_kc0.05,64.0,32.0,16.0,0.01,0.001,0.02,0.01,0.07189379,3.6414458e-05,0.14378758,12952.93
l_d16_c32_s64_cost0.01_kd0.001_init0.02_eprob0.05_resTrue_kc0.05,64.0,32.0,16.0,0.01,0.001,0.02,0.05,0.010625498,2.635411e-05,0.021250997,12944.34
l_d16_c32_s64_cost0.01_kd0.001_init0.02_eprob0.2_resTrue_kc0.05,64.0,32.0,16.0,0.01,0.001,0.02,0.2,0.0027004227,2.701573e-05,0.0054008453,12952.27
l_d16_c32_s64_cost0.01_kd0.001_init0.25_eprob0.001_resTrue_kc0.05,64.0,32.0,16.0,0.01,0.001,0.25,0.001,0.22095713,1.0718675e-05,0.44191426,12951.88
l_d16_c32_s64_cost0.01_kd0.001_init0.25_eprob0.01_resTrue_kc0.05,64.0,32.0,16.0,0.01,0.001,0.25,0.01,0.063109286,3.114537e-05,0.12621857,12949.29
